天津联通,#genre#
天津私家车广播,http://nas.hssvm.com:8888/udp/225.1.1.178:5002
天津音乐广播,http://nas.hssvm.com:8888/udp/225.1.1.179:5002
天津经典音乐广播,http://nas.hssvm.com:8888/udp/225.1.1.180:5002


天津移动,#genre#
天津卫视,http://nas.hssvm.com:8888/udp/225.2.1.111:5000
天津-1新闻,http://nas.hssvm.com:8888/udp/225.2.1.130:5000
天津-2文艺,http://nas.hssvm.com:8888/udp/225.2.1.131:5000
天津-3影视,http://nas.hssvm.com:8888/udp/225.2.1.149:5000
天津-4都市,http://nas.hssvm.com:8888/udp/225.2.1.128:5000
天津-5体育,http://nas.hssvm.com:8888/udp/225.2.1.122:5000
天津-6教育,http://nas.hssvm.com:8888/udp/225.2.1.129:5000
河东有线 SD,http://nas.hssvm.com:8888/udp/225.0.2.62:5000
静海区 SD,http://nas.hssvm.com:8888/udp/225.0.2.80:5000
宝坻区 SD,http://nas.hssvm.com:8888/udp/225.0.2.79:5000
蓟州区,http://nas.hssvm.com:8888/udp/225.0.2.78:5000
滨海-1 SD,http://nas.hssvm.com:8888/udp/225.0.2.67:5000
滨海-2 SD,http://nas.hssvm.com:8888/udp/225.0.2.68:5000
大港油田,http://nas.hssvm.com:8888/udp/225.0.2.74:5000
CCTV-1综合,http://nas.hssvm.com:8888/udp/225.2.1.120:5000
CCTV-2财经,http://nas.hssvm.com:8888/udp/225.2.1.133:5000
CCTV-3综艺,http://nas.hssvm.com:8888/udp/225.2.1.158:5000
CCTV-4中文国际,http://nas.hssvm.com:8888/udp/225.2.1.150:5000
CCTV-5体育,http://nas.hssvm.com:8888/udp/225.2.1.160:5000
CCTV-5+体育赛事,http://nas.hssvm.com:8888/udp/225.2.1.121:5000
CCTV-6电影,http://nas.hssvm.com:8888/udp/225.2.1.195:5000
CCTV-7国防军事,http://nas.hssvm.com:8888/udp/225.2.1.138:5000
CCTV-8电视剧,http://nas.hssvm.com:8888/udp/225.2.1.196:5000
CCTV-9记录,http://nas.hssvm.com:8888/udp/225.2.1.119:5000
CCTV-10科教,http://nas.hssvm.com:8888/udp/225.2.1.140:5000
